movie_ix,movieId,category
159,2470,4
160,2478,0
161,2492,0
162,2502,2
163,2528,0
164,2529,2
165,2542,2
166,2571,2
167,2580,2
168,2596,2
169,2616,1
170,2617,4
171,2628,4
172,2640,4
173,2641,0
174,2644,0
175,2648,3
176,2654,3
177,2657,3
178,2692,2
179,2700,2
180,2716,2
181,2761,2
182,2797,2
183,2826,0
184,2858,2
185,2872,2
186,2899,0
187,2916,3
188,2944,2
189,2947,2
190,2948,2
191,2949,3
192,2959,2
193,2985,3
194,2987,2
195,2991,4
196,2993,4
197,2997,2
198,3033,3
199,3034,4
200,3052,2
201,3053,2
202,3062,2
203,3147,2
204,3168,3
205,3176,3
206,3243,1
207,3247,4
208,3253,4
209,3273,1
210,3386,2
211,3439,0
212,3440,1
213,3441,3
214,3448,2
215,3450,2
216,3479,3
217,3489,4
218,3527,4
219,3578,4
220,3617,4
221,3639,4
222,3671,2
223,3702,3
224,3703,2
225,3729,3
226,3740,2
227,3744,1
228,3793,4
229,3809,3
230,4006,0
231,5060,2
232,318,2
233,1704,4
234,6874,2
235,8798,4
236,46970,0
237,48516,2
238,58559,2
239,60756,0
240,68157,2
241,71535,4
242,74458,2
243,77455,2
244,79132,2
245,80489,4
246,80906,4
247,86345,2
248,89774,4
249,91529,4
250,91658,2
251,99114,2
252,106782,2
253,109487,2
254,112552,2
255,114060,0
256,115713,2
257,122882,2
258,131724,4
259,31,4
260,647,4
261,688,0
262,720,2
263,849,1
264,914,2
265,1093,4
266,1124,2
267,1263,2
268,1272,2
269,1302,2
270,1371,0
271,2080,4
272,2288,2
273,2424,4
274,2851,1
275,3024,1
276,3210,4
277,3949,2
278,4518,1
279,5048,1
280,5181,1
281,5746,1
282,5764,1
283,5919,0
284,6238,4
285,6835,1
286,7899,1
287,7991,1
288,26409,1
289,70946,1
290,72378,4
291,21,3
292,32,2
293,45,3
294,52,3
295,58,2
296,106,0
297,125,3
298,126,1
299,162,2
300,171,3
301,176,2
302,190,0
303,215,2
304,222,4
305,232,3
306,247,3
307,265,2
308,319,2
309,342,3
310,345,2
311,348,2
312,351,0
313,357,2
314,368,4
315,417,3
316,450,0
317,475,2
318,492,3
319,509,3
320,538,3
321,539,4
322,588,4
323,595,4
324,599,2
325,708,4
326,759,0
327,800,2
328,892,4
329,898,2
330,899,2
331,902,2
332,904,2
333,908,2
334,910,2
335,912,2
336,920,2
337,930,2
338,937,0
339,1046,3
340,1057,3
341,1077,2
342,1079,2
343,1084,2
344,1086,2
345,1094,3
346,1103,2
347,1179,3
348,1183,2
349,1188,3
350,1199,2
351,1203,2
352,1211,2
353,1225,2
354,1250,2
355,1259,2
356,1266,2
357,1279,2
358,1283,2
359,1288,2
360,1304,2
361,1391,0
362,1449,2
363,1466,3
364,1597,4
365,1641,2
366,1719,2
367,1733,3
368,1734,3
369,1834,3
370,1860,0
371,1883,3
372,1885,0
373,1892,4
374,1895,3
375,1907,4
376,1914,3
377,1916,3
378,1923,2
379,1947,3
380,1966,3
381,1968,2
382,2019,2
383,2076,2
384,2109,3
385,2145,4
386,2150,2
387,2186,2
388,2203,2
389,2204,3
390,2282,4
391,2324,2
392,2336,3
393,2351,3
394,2359,4
395,2390,3
396,2467,3
397,2583,2
398,2599,2
399,2683,3
400,2712,3
401,2762,2
402,2763,4
403,2770,0
404,2791,4
405,2843,3
406,2874,3
407,2921,2
408,2926,3
409,2973,2
410,3044,3
411,3060,4
412,3079,4
413,3083,2
414,3160,2
415,3175,3
416,3204,3
417,3255,4
418,3317,2
419,3358,2
420,3365,3
421,3408,4
422,3481,2
423,3508,2
424,3538,4
425,3591,0
426,3788,3
427,3851,3
428,3897,2
429,3911,3
430,3967,4
431,3996,2
432,4002,2
433,4014,4
434,4020,4
435,4021,3
436,4027,2
437,4029,2
438,4033,2
439,4034,2
440,4074,0
441,4121,4
442,4144,2
443,4166,0
444,4226,2
445,4239,4
446,4246,4
447,4252,0
448,4260,0
449,4273,3
450,4308,4
451,4347,3
452,4381,3
453,4641,2
454,4741,3
455,4765,3
456,4881,2
457,4896,4
458,4902,3
459,4967,2
460,34,3
461,36,2
462,39,0
463,150,4
464,153,1
465,253,2
466,261,3
467,266,4
468,290,2
469,300,2
470,344,0
471,364,4
472,380,4
473,410,0
474,474,4
475,515,3
476,531,3
477,534,2
478,589,2
479,594,3
480,597,4
481,2,4
482,4,1
483,5,1
484,7,0
485,8,1
486,10,4
487,11,4
488,13,0
489,15,4
490,16,2
491,17,2
492,19,0
493,22,4
494,24,4
495,25,2
496,26,3
497,27,4
498,41,2
499,43,0
500,46,1
501,54,1
502,60,4
503,61,4
504,62,4
505,65,1
506,66,1
507,76,4
508,79,1
509,86,4
510,87,1
511,88,4
512,89,0
513,92,1
514,93,1
515,95,1
516,100,1
517,102,1
518,104,4
519,105,4
520,112,3
521,113,3
522,135,1
523,140,4
524,141,3
525,145,4
526,146,0
527,158,1
528,159,1
529,160,1
530,161,4
531,165,4
532,168,4
533,170,4
534,174,1
535,177,0
536,179,1
537,180,3
538,181,1
539,185,1
540,186,1
541,189,0
542,191,1
543,195,1
544,196,1
545,201,0
546,204,1
547,205,0
548,207,4
549,208,1
550,209,0
551,210,0
552,212,0
553,217,1
554,218,3
555,219,0
556,224,2
557,225,1
558,230,0
559,234,0
560,236,4
561,237,4
562,239,0
563,240,1
564,243,0
565,248,1
566,250,1
567,251,0
568,252,4
569,254,0
570,256,1
571,257,4
572,258,1
573,262,3
574,267,1
575,270,1
576,271,1
577,273,0
578,274,1
579,276,0
580,277,0
581,279,0
582,281,2
583,282,3
584,288,3
585,289,4
586,291,1
587,292,4
588,293,2
589,302,0
590,303,0
591,304,4
592,310,0
593,312,1
594,313,3
595,314,3
596,315,4
597,317,4
598,327,1
599,329,4
600,330,0
601,332,0
602,336,0
603,337,2
604,339,4
605,340,4
606,343,1
607,347,3
608,350,4
609,352,1
610,353,2
611,354,3
612,355,1
613,358,1
614,359,0
615,360,1
616,361,0
617,366,1
618,370,1
619,371,0
620,374,1
621,377,4
622,378,0
623,381,4
624,382,0
625,383,0
626,405,1
627,412,3
628,415,1
629,416,0
630,419,1
631,426,3
632,432,1
633,434,1
634,435,1
635,437,1
636,440,4
637,445,0
638,454,4
639,455,1
640,458,0
641,460,0
642,466,0
643,468,4
644,469,4
645,472,1
646,477,0
647,485,4
648,489,0
649,490,1
650,491,3
651,493,3
652,494,4
653,497,3
654,502,1
655,505,1
656,508,2
657,510,0
658,516,4
659,520,0
660,524,4
661,532,0
662,536,3
663,537,0
664,540,1
665,542,1
666,546,1
667,548,1
668,569,1
669,575,1
670,587,4
671,606,0
672,609,3
673,616,3
674,628,4
675,631,1
676,637,1
677,640,1
678,662,4
679,667,1
680,694,1
681,697,1
682,700,0
683,704,1
684,709,0
685,710,0
686,711,1
687,719,0
688,747,0
689,762,1
690,765,1
691,775,0
692,783,0
693,795,0
694,799,3
695,801,0
696,802,4
697,818,3
698,830,0
699,835,0
700,837,4
701,838,4
702,839,1
703,842,1
704,848,4
705,852,4
706,867,1
707,880,1
708,881,1
709,888,1
710,891,0
711,979,0
712,981,0
713,986,4
714,991,3
715,996,1
716,999,0
717,1004,0
718,1006,4
719,1061,4
720,1064,4
721,1082,3
722,750,2
723,924,2
724,1101,4
725,1246,2
726,1584,4
727,1610,2
728,1682,2
729,1784,4
730,1917,4
731,2671,4
732,2688,0
733,2701,1
734,2717,0
735,3114,4
736,3354,1
737,3623,1
738,3869,4
739,3916,4
740,3977,1
741,3994,4
742,4018,4
743,4223,4
744,4306,4
745,4310,1
746,4370,0
747,4643,1
748,4700,4
749,4844,1
750,4874,4
751,4886,4
752,4963,4
753,4993,2
754,4995,2
755,5218,4
756,5349,4
757,5378,4
758,5445,2
759,5459,1
760,5464,2
761,5502,0
762,5618,2
763,5816,4
764,5952,2
765,5989,2
766,5991,2
767,6333,4
768,6365,4
769,6534,1
770,6539,4
771,6863,4
772,6934,4
773,7143,4
774,7153,2
775,7155,1
776,7445,4
777,8207,2
778,8360,4
779,8368,4
780,8373,1
781,8528,4
782,8636,4
783,8665,4
784,8666,1
785,8783,4
786,8808,1
787,8865,0
788,8870,1
789,8907,1
790,8908,3
791,8949,2
792,8957,0
793,8958,4
794,8961,2
795,8965,0
796,8970,4
797,8972,4
798,8984,4
799,27741,3
800,30812,2
801,30816,4
802,31878,3
803,32029,0
804,32031,0
805,32296,1
806,32587,2
807,33162,4
808,33493,4
809,33794,4
810,33836,1
811,34048,4
812,34319,4
813,37741,2
814,38388,4
815,42002,0
816,45499,4
817,45517,4
818,45668,4
819,45730,0
820,46530,4
821,48783,3
822,48997,3
823,49272,4
824,49278,4
825,49286,4
826,49824,3
827,586,0
828,187,3
829,627,3
830,922,2
831,1037,1
832,1095,2
833,1674,3
834,1987,0
835,2011,4
836,2023,4
837,2300,2
838,2877,0
839,2901,0
840,3173,4
841,3328,2
842,3735,3
843,4131,1
844,4558,0
845,5447,3
846,5451,0
847,5481,0
848,5507,1
849,5841,1
850,5843,0
851,5872,1
852,5890,3
853,5891,1
854,5893,4
855,5902,2
856,5956,2
857,5962,1
858,5965,3
859,5988,0
860,6001,2
861,6044,1
862,1028,2
863,1088,4
864,1247,2
865,1307,2
866,3882,1
867,4447,1
868,5066,4
869,5377,2
870,5620,1
871,5943,1
872,5957,4
873,6155,1
874,6266,0
875,6377,4
876,6535,1
877,6942,4
878,7149,0
879,7151,3
880,7154,1
881,7169,4
882,7293,4
883,7375,1
884,7451,4
885,7458,4
886,8529,4
887,8533,4
888,8869,1
889,8969,4
890,30749,2
891,31433,0
892,31685,4
893,33145,0
894,33679,4
895,40629,3
896,40819,2
897,41285,2
898,47099,4
899,51662,4
900,51705,0
901,51834,0
902,54286,4
903,56367,4
904,56949,4
905,58047,4
906,59333,0
907,59421,0
908,60397,1
909,60950,4
910,61250,1
911,63113,4
912,63992,1
913,64969,4
914,66203,0
915,68954,4
916,69406,1
917,69844,4
918,70183,0
919,70293,0
920,71579,4
921,72011,2
922,72330,0
923,72407,1
924,72720,0
925,72737,2
926,72998,4
927,73017,4
928,74450,0
929,77841,0
930,78772,1
931,79091,4
932,80549,4
933,81784,0
934,81845,2
935,81847,4
936,82167,0
937,82499,3
938,84374,0
939,86548,0
940,87222,4
941,88163,4
942,88810,4
943,91104,1
944,92259,4
945,94070,0
946,95167,4
947,95449,1
948,95510,4
949,95543,1
950,96079,4
951,97024,3
952,97938,2
953,98203,1
954,103335,4
955,103339,1
956,104374,4
957,105211,3
958,106489,4
959,106696,4
960,107141,4
961,109374,2
962,109853,1
963,112006,0
964,113275,1
965,113394,1
966,119145,2
967,129428,0
968,136020,4
969,137595,1
970,140110,4
971,44,1
972,376,0
973,511,0
974,529,2
975,1100,4
976,1358,2
977,1370,4
978,1385,1
979,1438,1
980,1518,0
981,1586,1
982,1604,4
983,1608,4
984,1616,4
985,1687,4
986,1693,4
987,1721,4
988,1840,4
989,1882,1
990,1918,4
991,2002,4
992,2027,1
993,1357,2
994,1405,0
995,1876,1
996,2072,4
997,2100,3
998,2421,0
999,2485,1
1000,2572,4
1001,2581,4
1002,2694,4
1003,3668,3
1004,305,0
1005,1173,3
1006,1590,1
1007,1619,4
1008,1639,2
1009,2541,0
1010,3300,3
1011,3409,1
1012,3513,1
1013,3624,4
1014,3717,4
1015,3753,4
1016,3798,4
1017,3827,1
1018,3863,0
1019,3893,3
1020,3952,0
1021,4011,2
1022,4148,4
1023,193,1
1024,448,4
1025,784,0
1026,172,1
1027,858,2
1028,1200,2
1029,1347,0
1030,1527,4
1031,1653,2
1032,1909,4
1033,2001,4
1034,2081,4
1035,2085,3
1036,2278,4
1037,3156,1
1038,3499,2
1039,3510,4
1040,3535,2
1041,3555,4
1042,4022,4
1043,4720,2
1044,5971,2
1045,6502,2
1046,7254,4
1047,7438,2
1048,8644,4
1049,48304,2
1050,48774,2
1051,48780,2
1052,50872,4
1053,56174,4
1054,59315,4
1055,60069,2
1056,63859,4
1057,64614,2
1058,68237,2
1059,69757,4
1060,70286,2
1061,71057,4
1062,71264,3
1063,84152,4
1064,84954,1
1065,85414,0
1066,89745,4
1067,91500,4
1068,94864,4
1069,96610,2
1070,101864,4
1071,103249,1
1072,104841,4
1073,105504,4
1074,110102,4
1075,111759,4
1076,112556,2
1077,112852,4
1078,115149,2
1079,120466,3
1080,122886,4
1081,122904,4
1082,122922,4
1083,122924,4
1084,134130,2
1085,134853,4
1086,143385,4
1087,152077,3
1088,152081,4
1089,158872,4
1090,160980,4
1091,166528,4
1092,166635,3
1093,111,2
1094,541,2
1095,678,2
1096,745,2
1097,913,2
1098,1147,2
1099,1148,2
1100,1186,2
1101,1193,2
1102,1201,2
1103,1207,2
1104,1223,2
1105,1230,2
1106,1252,2
1107,1260,3
1108,1261,2
1109,1267,2
1110,1276,2
1111,1281,2
1112,1299,2
1113,1680,4
1114,2490,4
1115,2707,3
1116,2723,3
1117,3000,2
1118,3022,2
1119,3108,2
1120,3174,3
1121,3429,2
1122,3683,2
1123,3741,2
1124,4878,2
1125,4973,2
1126,5782,2
1127,6350,2
1128,7099,2
1129,7361,2
1130,27611,2
1131,27773,2
1132,48394,2
1133,78499,2
1134,1036,2
1135,1209,2
1136,1221,2
1137,1228,2
1138,1234,2
1139,1375,0
1140,2194,2
1141,3039,2
1142,3263,0
1143,3435,2
1144,3681,2
1145,4571,2
1146,6016,2
1147,6870,2
1148,7482,2
1149,31658,2
1150,64839,2
1151,68358,4
1152,80463,2
1153,81932,2
1154,82459,2
1155,431,2
1156,442,1
1157,555,2
1158,653,1
1159,778,2
1160,1020,4
1161,1059,2
1162,1212,2
1163,1227,2
1164,1245,2
1165,1356,4
1166,1374,4
1167,1544,1
1168,1729,2
1169,1924,0
1170,1961,2
1171,2184,0
1172,2409,4
1173,2410,0
1174,2411,1
1175,2412,1
1176,2420,3
1177,2422,1
1178,2706,4
1179,2918,2
1180,2951,2
1181,2953,1
1182,3081,3
1183,3257,1
1184,3275,2
1185,3462,2
1186,3751,3
1187,3785,1
1188,3896,0
1189,4007,2
1190,4262,2
1191,4327,2
1192,4383,3
1193,4728,0
1194,4816,3
1195,5008,2
1196,5120,3
1197,5266,3
1198,5418,4
1199,5574,4
1200,5608,2
1201,5669,2
1202,5679,0
1203,5903,4
1204,5944,4
1205,5995,2
1206,6287,4
1207,6300,4
1208,6373,4
1209,6378,4
1210,6440,2
1211,6548,4
1212,6709,0
1213,6787,2
1214,6807,2
1215,6888,1
1216,7018,4
1217,7147,4
1218,7317,4
1219,7318,1
1220,7323,3
1221,7373,4
1222,7753,0
1223,7843,3
1224,8117,3
1225,8361,4
1226,8641,4
1227,8784,2
1228,8917,3
1229,8950,2
1230,26444,3
1231,26614,4
1232,27689,1
1233,27716,3
1234,27831,2
1235,27878,3
1236,30793,0
1237,32460,3
1238,33004,4
1239,33615,4
1240,34150,1
1241,34405,4
1242,36519,0
1243,36529,4
1244,37386,1
1245,37729,3
1246,37733,3
1247,38038,2
1248,38061,2
1249,44022,4
1250,44191,2
1251,44199,4
1252,44555,2
1253,44665,4
1254,45722,4
1255,46578,2
1256,46965,1
1257,47200,0
1258,47491,3
1259,49651,3
1260,51357,3
1261,51540,2
1262,52604,4
1263,53125,4
1264,53129,4
1265,53318,0
1266,53464,1
1267,53972,4
1268,53996,4
1269,54272,4
1270,55118,2
1271,55247,2
1272,55276,2
1273,55290,2
1274,55765,2
1275,56757,4
1276,57528,0
1277,57640,2
1278,57669,2
1279,58295,4
1280,58299,3
1281,59615,1
1282,59784,3
1283,60040,4
1284,60074,1
1285,60684,2
1286,62434,4
1287,63131,4
1288,64197,4
1289,64957,4
1290,65596,3
1291,66934,2
1292,67255,4
1293,68073,3
1294,68159,3
1295,68319,1
1296,69122,4
1297,69640,0
1298,69951,4
1299,71108,3
1300,71156,0
1301,71899,2
1302,73268,0
1303,73321,4
1304,73323,3
1305,73499,0
1306,74510,3
1307,74789,4
1308,74948,3
1309,76077,0
1310,76175,1
1311,76251,4
1312,77561,4
1313,78469,1
1314,79293,1
1315,79592,0
1316,79695,0
1317,79702,2
1318,80219,0
1319,81788,2
1320,83349,1
1321,84392,4
1322,85354,3
1323,86190,0
1324,86332,4
1325,86628,3
1326,86880,4
1327,87232,4
1328,88094,0
1329,88129,2
1330,88140,4
1331,90600,4
1332,91485,0
1333,91542,4
1334,92094,0
1335,95441,0
1336,96432,3
1337,96488,3
1338,96655,3
1339,97752,4
1340,98124,4
1341,98585,3
1342,98809,4
1343,99728,0
1344,99813,3
1345,102125,4
1346,102445,4
1347,102903,4
1348,103253,0
1349,103772,4
1350,104241,0
1351,104879,2
1352,106072,4
1353,106487,4
1354,106839,3
1355,107846,0
1356,111362,4
1357,112183,2
1358,112334,3
1359,112421,3
1360,114066,0
1361,116797,2
1362,116823,4
1363,117176,4
1364,118900,3
1365,122892,4
1366,122900,4
1367,122918,2
1368,122920,4
1369,122926,4
1370,128620,3
1371,135569,3
1372,139385,2
1373,140289,0
1374,141688,3
1375,142488,2
1376,144210,3
1377,145283,0
1378,148626,2
1379,150548,4
1380,155168,3
1381,157108,3
1382,157110,3
1383,158238,2
1384,158972,0
1385,159093,4
1386,160438,1
1387,161582,3
1388,162350,0
1389,162606,0
1390,164179,2
1391,166015,0
1392,168252,2
1393,171023,0
1394,176101,4
1395,177593,2
1396,180095,3
1397,180777,3
1398,185135,4
1399,12,1
1400,48,0
1401,64,1
1402,107,3
1403,118,0
1404,173,1
1405,295,0
1406,325,1
1407,328,0
1408,338,1
1409,372,0
1410,379,1
1411,407,4
1412,414,1
1413,420,1
1414,422,0
1415,427,0
1416,486,0
1417,512,0
1418,513,4
1419,551,3
1420,558,0
1421,610,4
1422,611,1
1423,671,4
1424,674,3
1425,724,1
1426,742,1
1427,743,1
1428,761,0
1429,785,4
1430,788,1
1431,798,1
1432,810,1
1433,829,1
1434,832,4
1435,866,2
1436,879,1
1437,903,2
1438,906,2
1439,911,2
1440,915,2
1441,921,3
1442,931,3
1443,933,2
1444,965,2
1445,984,3
1446,1016,0
1447,1021,1
1448,1047,4
1449,1081,4
1450,1129,3
1451,1215,2
1452,1238,3
1453,1257,2
1454,1269,2
1455,1285,2
1456,1297,2
1457,1322,1
1458,1324,1
1459,1330,1
1460,1333,2
1461,1339,3
1462,1342,1
1463,1345,3
1464,1346,0
1465,1355,0
1466,1359,1
1467,1367,0
1468,1372,4
1469,1373,1
1470,1376,4
1471,1378,4
1472,1379,0
1473,1380,4
1474,1394,2
1475,1407,0
1476,1409,1
1477,1427,1
1478,1441,4
1479,1456,0
1480,1457,4
1481,1461,0
1482,1474,1
1483,1479,4
1484,1485,4
1485,1489,3
1486,1499,1
1487,1542,3
1488,1550,1
1489,1551,1
1490,1556,1
1491,1562,1
1492,1566,3
1493,1569,4
1494,1583,0
1495,1588,0
1496,1591,1
1497,1593,1
1498,1603,1
1499,1614,1
1500,1645,4
1501,1648,0
1502,1658,1
1503,1663,2
1504,1665,0
1505,1679,0
1506,1681,1
1507,1688,3
1508,1689,1
1509,1690,0
1510,1702,0
1511,1717,1
1512,1718,0
1513,1722,4
1514,1747,3
1515,1748,2
1516,1754,4
1517,1779,1
1518,1783,0
1519,1798,1
1520,1806,1
1521,1812,3
1522,1816,1
1523,1831,1
1524,1845,2
1525,1848,0
1526,1855,1
1527,1862,1
1528,1881,1
1529,1888,3
1530,1891,0
1531,1894,0
1532,1906,0
1533,1911,1
1534,1919,0
1535,1921,2
1536,1963,3
1537,1970,1
1538,1971,1
1539,1972,1
1540,1973,1
1541,1991,4
1542,1994,3
1543,2003,3
1544,2004,3
1545,2014,0
1546,2015,3
1547,2016,0
1548,2026,1
1549,2034,0
1550,2036,0
1551,2037,3
1552,2040,0
1553,2041,3
1554,2044,0
1555,2052,0
1556,2053,1
1557,2060,3
1558,2065,2
1559,2082,0
1560,2088,1
1561,2092,1
1562,2097,0
1563,2108,3
1564,2110,3
1565,2111,3
1566,2118,2
1567,2123,1
1568,2133,4
1569,2134,0
1570,2140,3
1571,2144,3
1572,2148,0
1573,2153,1
1574,2167,4
1575,2169,1
1576,2171,3
1577,2206,3
1578,2227,3
1579,2232,3
1580,2243,3
1581,2244,1
1582,2245,4
1583,2248,2
1584,2249,0
1585,2255,1
1586,2261,0
1587,2263,0
1588,2266,0
1589,2267,0
1590,2279,1
1591,2287,3
1592,2294,4
1593,2302,4
1594,2315,1
1595,2320,0
1596,2321,3
1597,2328,1
1598,2335,4
1599,2354,1
1600,2355,4
1601,2369,1
1602,2371,4
1603,2372,1
1604,2374,4
1605,2375,4
1606,2393,4
1607,2394,3
1608,2396,2
1609,2407,0
1610,2413,4
1611,2416,0
1612,2418,0
1613,2423,4
1614,2428,1
1615,2446,1
1616,2453,1
1617,2455,3
1618,2458,0
1619,2463,4
1620,2465,1
1621,2468,1
1622,2491,4
1623,2496,0
1624,2513,0
1625,2518,0
1626,2539,4
1627,2548,1
1628,2550,2
1629,2555,1
1630,2558,1
1631,2605,1
1632,2606,1
1633,2614,1
1634,2622,0
1635,2642,1
1636,2643,1
1637,2668,0
1638,2672,0
1639,2687,4
1640,2699,0
1641,2709,0
1642,2710,0
1643,2719,1
1644,2720,1
1645,2722,1
1646,2733,0
1647,2746,3
1648,2754,1
1649,2788,2
1650,2793,1
1651,2802,0
1652,2804,2
1653,2806,1
1654,2808,1
1655,2822,0
1656,2836,3
1657,2840,0
1658,2857,3
1659,2860,0
1660,2867,4
1661,2870,0
1662,2883,0
1663,2888,1
1664,2898,0
1665,2900,0
1666,2915,4
1667,2936,3
1668,2968,2
1669,2995,1
1670,3005,4
1671,3016,0
1672,3017,0
1673,3031,0
1674,3032,3
1675,3035,3
1676,3040,0
1677,3048,1
1678,3056,3
1679,3063,1
1680,3064,0
1681,3070,3
1682,3072,3
1683,3082,4
1684,3087,0
1685,3101,4
1686,3104,2
1687,3113,1
1688,3146,1
1689,3190,1
1690,3203,3
1691,3213,2
1692,3219,4
1693,3225,1
1694,3238,1
1695,3248,1
1696,3254,4
1697,3258,4
1698,3264,1
1699,3269,4
1700,3301,4
1701,3308,3
1702,3316,1
1703,3324,1
1704,3355,0
1705,3361,4
1706,3370,0
1707,3387,0
1708,3393,1
1709,3394,1
1710,3395,0
1711,3396,2
1712,3397,3
1713,3398,3
1714,3400,0
1715,3401,1
1716,3418,3
1717,3421,2
1718,3424,2
1719,3454,0
1720,3466,4
1721,3471,2
1722,3476,2
1723,3477,4
1724,3483,0
1725,3484,1
1726,3497,0
1727,3500,3
1728,3501,3
1729,3505,3
1730,3515,4
1731,3526,3
1732,3534,0
1733,3536,4
1734,3548,3
1735,3550,3
1736,3551,3
1737,3584,1
1738,3594,4
1739,3608,0
1740,3622,0
1741,3662,0
1742,3685,3
1743,3686,0
1744,3692,0
1745,3693,1
1746,3698,0
1747,3699,3
1748,3701,0
1749,3704,3
1750,3705,1
1751,3706,3
1752,3708,0
1753,3712,0
1754,3743,1
1755,3745,4
1756,3752,4
1757,3754,1
1758,3763,3
1759,3770,0
1760,3784,0
1761,3797,0
1762,3802,1
1763,3825,1
1764,3826,1
1765,3835,1
1766,3837,1
1767,3839,1
1768,1010,0
1769,1012,3
1770,1013,3
1771,1015,1
1772,1018,0
1773,1022,4
1774,1035,2
1775,1547,0
1776,2006,1
1777,2059,4
1778,2083,4
1779,2087,3
1780,2089,3
1781,2135,3
1782,2430,1
1783,2565,4
1784,2941,3
1785,3157,0
1786,3159,3
1787,3189,4
1788,3410,3
1789,3438,0
1790,3512,3
1791,3549,3
1792,3565,4
1793,3615,1
1794,3755,4
1795,3852,4
1796,3948,4
1797,3972,2
1798,3986,1
1799,3988,0
1800,3990,1
1801,3999,1
1802,4016,4
1803,4019,4
1804,4025,4
1805,4039,4
1806,4054,1
1807,4090,4
1808,4154,3
1809,4161,4
1810,4232,1
1811,4270,4
1812,4299,4
1813,4344,4
1814,4366,0
1815,4367,1
1816,4369,1
1817,4378,2
1818,4446,4
1819,4449,1
1820,4519,3
1821,4638,4
1822,4718,4
1823,4734,4
1824,4776,4
1825,4783,0
1826,4821,0
1827,4846,4
1828,4848,3
1829,4865,2
1830,4901,4
1831,4979,2
1832,4990,0
1833,5013,2
1834,5014,4
1835,5015,3
1836,5103,3
1837,5110,2
1838,5171,1
1839,5254,4
1840,5293,3
1841,5299,4
1842,5313,1
1843,5364,4
1844,5388,4
1845,5419,1
1846,5463,1
1847,5504,1
1848,5630,4
1849,5693,3
1850,5785,3
1851,6143,0
1852,6156,0
1853,6157,1
1854,6166,1
1855,6170,3
1856,6297,4
1857,6345,4
1858,6358,0
1859,38,0
1860,2376,1
1861,2378,4
1862,2402,1
1863,2403,4
1864,2724,1
1865,2989,4
1866,2990,4
1867,3633,0
1868,3635,4
1869,3638,4
1870,3697,1
1871,3868,4
1872,3984,4
1873,4005,0
1874,4040,1
1875,4085,4
1876,4489,4
1877,4545,4
1878,4621,1
1879,4701,0
1880,5219,4
1881,5796,0
1882,6503,1
1883,7569,4
1884,7570,4
1885,7573,4
1886,7701,1
1887,8574,0
1888,8946,0
1889,26340,0
1890,30825,4
1891,34162,4
1892,39715,1
1893,40815,4
1894,41566,4
1895,45186,4
1896,45447,0
1897,45672,0
1898,46972,1
1899,47566,0
1900,47997,4
1901,50189,1
1902,51084,0
1903,52730,0
1904,52973,4
1905,53121,1
1906,53322,4
1907,54276,0
1908,56775,1
1909,58025,0
1910,58998,4
1911,59369,4
1912,59429,0
1913,59900,0
1914,61160,1
1915,63082,2
1916,64032,0
1917,68791,0
1918,68793,1
1919,69526,1
1920,69644,1
1921,72641,4
1922,73106,3
1923,73319,0
1924,73858,0
1925,76093,4
